number,event_number,particle_name,particle_id,E,Px,Py,Pz
10860,7942,e-,11,81.4956,-23.7843,-22.7,74.5691
10861,7944,e+,-11,40.4654,-11.8288,-10.9752,37.109
10862,7945,e+,-11,93.2662,11.8521,22.479,-89.7375
10863,7945,e-,11,59.6217,-12.9885,8.19558,-57.6097
10864,7946,e-,11,188.882,-153.73,107.135,-23.7799
10865,7946,e+,-11,77.372,62.0993,-46.0793,-2.60696
10866,7947,e+,-11,64.5803,-12.8406,23.194,-58.8877
10867,7947,e-,11,26.4485,10.0693,-9.05262,22.7197
10868,7949,e-,11,205.425,65.052,40.9054,190.51
10869,7949,e+,-11,32.2879,0.781072,-30.5632,-10.3821
10870,7950,e-,11,126.687,-44.04,-67.194,97.9544
10871,7950,e+,-11,93.9748,-33.5135,14.0702,-86.6611
10872,7951,e-,11,29.927,27.3993,7.59341,9.34038
10873,7952,e+,-11,61.3005,-28.1674,53.5855,9.64051
10874,7952,e-,11,49.3793,48.0375,-11.0761,-2.83437
10875,7954,e+,-11,51.6726,43.1369,-26.6139,10.0486
10876,7955,e+,-11,545.113,-85.1727,-63.4633,-534.665
10877,7955,e-,11,164.874,84.517,55.2435,-130.34
10878,7958,e+,-11,140.434,-15.5447,-68.3159,-121.709
10879,7958,e-,11,58.0399,2.65484,-13.4998,-56.3856
10880,7960,e-,11,154.188,13.4896,-34.8485,149.591
10881,7960,e+,-11,73.5902,11.2819,21.403,69.4993
10882,7961,e-,11,24.8434,22.6252,-3.29534,9.71784
10883,7962,e-,11,49.5117,-26.0926,-19.5729,37.249
10884,7962,e+,-11,40.9202,22.9973,-11.9899,31.6517
10885,7963,e+,-11,154.622,-128.614,-30.7845,80.1171
10886,7963,e-,11,44.7253,25.5706,8.70794,-35.6464
10887,7964,e+,-11,109.339,26.5216,-4.70488,-105.969
10888,7965,e-,11,190.828,10.5446,36.8377,-186.941
10889,7965,e+,-11,26.666,15.8594,17.8461,-11.8775
10890,7966,e-,11,457.656,166.518,135.82,-404.072
10891,7967,e-,11,108.197,-8.60569,-23.2424,-105.32
10892,7968,e+,-11,137.096,-16.6844,-19.8553,-134.621
10893,7969,e-,11,130.708,-15.5713,-47.7714,-120.665
